iter	RMSE
0	0.4553801105
1	0.4509839092
2	0.4467295776
3	0.4427007365
4	0.4393482434
5	0.4357788034
6	0.4324368216
7	0.429371204
8	0.4262964879
9	0.4233737891
10	0.4205279181
11	0.4181812455
12	0.4157658804
13	0.4132352055
14	0.4108703179
15	0.4086847124
16	0.4063666536
17	0.4043788454
18	0.4018949926
19	0.3997557497
20	0.3979832075
21	0.396111726
22	0.394264236
23	0.3926211438
24	0.3909130827
25	0.3892159524
26	0.3879990284
27	0.3865514309
28	0.3852321502
29	0.3834870112
30	0.382160166
31	0.3808517188
32	0.3793656077
33	0.3778407991
34	0.3762089158
35	0.3752507685
36	0.3744827027
37	0.3735188773
38	0.3721904453
39	0.3709139954
40	0.3703270154
41	0.3694253794
42	0.3689244439
43	0.3680462814
44	0.366938254
45	0.3658780772
46	0.3650726311
47	0.3644844363
48	0.3639947301
49	0.3631918277
50	0.362137639
51	0.3613639556
52	0.3603729143
53	0.3598065235
54	0.3587819674
55	0.3580136178
56	0.357158035
57	0.356507115
58	0.3559074611
59	0.3554215574
60	0.354824065
61	0.3542135456
62	0.3537875375
63	0.3530947598
64	0.352458167
65	0.3519309239
66	0.3511731868
67	0.3505567172
68	0.3497359931
69	0.3493443664
70	0.3488829297
71	0.3483157557
72	0.347823207
73	0.347144212
74	0.3467391751
75	0.3461955416
76	0.3456652514
77	0.3452805991
78	0.3446277025
79	0.3440755634
80	0.3435026645
81	0.3431230635
82	0.3426889105
83	0.3422916303
84	0.3419307069
85	0.3413216887
86	0.3407431958
87	0.3404775224
88	0.3399783291
89	0.3395989547
90	0.3392135948
91	0.3385752382
92	0.3381976181
93	0.3376743949
94	0.336941997
95	0.3367121467
96	0.3362345014
97	0.3356907454
98	0.3353788298
99	0.334882804
100	0.3346766833
101	0.3339912181
102	0.333950626
103	0.3334734131
104	0.3329919529
105	0.3326597844
106	0.3323787208
107	0.3318848088
108	0.3312835472
109	0.330930468
110	0.3306136018
111	0.3301240876
112	0.3293208242
113	0.3288128521
114	0.3283721153
115	0.3282243582
116	0.3279063391
117	0.3271854026
118	0.3266714706
119	0.3262366734
120	0.3256995553
121	0.3252837606
122	0.3246842704
123	0.3242686532
124	0.3239497317
125	0.3239127759
126	0.3238212541
127	0.3233524336
128	0.3228307526
129	0.3224101382
130	0.3220710056
131	0.3217680896
132	0.3212750634
133	0.3208056339
134	0.320520669
135	0.3201022727
136	0.3196890775
137	0.3191871727
138	0.3184854722
139	0.3179134519
140	0.317583969
141	0.3171144648
142	0.3166790909
143	0.3162181325
144	0.3160706954
145	0.3155458496
146	0.3154622414
147	0.3150733328
148	0.3148235332
149	0.3140843498
150	0.313826749
151	0.3134575773
152	0.3131938999
153	0.3130483003
154	0.3125469506
155	0.3121786446
156	0.3116859607
157	0.3114453824
158	0.3112177248
159	0.3109462435
160	0.310628317
161	0.3100867836
162	0.30961096
163	0.3091517665
164	0.3089942615
165	0.3087901762
166	0.3082257144
167	0.3073873448
168	0.3070729945
169	0.3068264113
170	0.3065620621
171	0.3060896379
172	0.3058668342
173	0.3055416231
174	0.3049809712
175	0.3045790124
176	0.3042947737
177	0.3037946564
178	0.3032410862
179	0.302953416
180	0.3026702224
181	0.3025015017
182	0.30223645
183	0.3021312538
184	0.3019982732
185	0.3015689006
186	0.3007759025
187	0.3006826973
188	0.3004500155
189	0.3002515587
190	0.3000118714
191	0.2998156411
192	0.2994590638
193	0.298868643
194	0.298672273
195	0.2982979585
196	0.2974697899
197	0.2972018468
198	0.2969495639
199	0.2965201096
200	0.2961273965
201	0.2959047513
202	0.2958066806
203	0.2956432199
204	0.2950209699
205	0.2948673439
206	0.2947333825
207	0.294523932
208	0.2943521793
209	0.2940530736
210	0.2938143199
211	0.2933844239
212	0.2933015834
213	0.29310769
214	0.2926103801
215	0.2922289088
216	0.2919943103
217	0.2917315346
218	0.2912448453
219	0.2911526976
220	0.2909865757
221	0.2908711124
222	0.2907303867
223	0.2906104967
224	0.2905435248
225	0.2904538465
226	0.2904186884
227	0.2903706197
228	0.2897385806
229	0.2889181543
230	0.2888147511
231	0.2887103448
232	0.2884743494
233	0.288022758
234	0.2878628764
235	0.2877402722
236	0.2874320351
237	0.2873552143
238	0.2863666668
239	0.2863000944
240	0.2858016482
241	0.2852380201
242	0.2849015551
243	0.2846611243
244	0.2842152503
245	0.2839430887
246	0.2838206519
247	0.2833397671
248	0.2829501149
249	0.28276298
250	0.2824411941
251	0.2820455134
252	0.2817517722
253	0.2814356247
254	0.2811122078
255	0.2806862553
256	0.2806225209
257	0.2802448144
258	0.2799896552
259	0.2798784977
260	0.2797349
261	0.2792179219
262	0.2791617611
263	0.2790311302
264	0.2784193504
265	0.2778265979
266	0.2777093373
267	0.2772350018
268	0.2771072364
269	0.2768592624
270	0.2767714771
271	0.2760177524
272	0.275265391
273	0.2748614006
274	0.2747465795
275	0.2742101635
276	0.2740620976
277	0.2738782008
278	0.2735281839
279	0.2729048244
280	0.2728234491
281	0.2720668838
282	0.2719853213
283	0.2715637409
284	0.271474641
285	0.2710127389
286	0.2703994004
287	0.2703331385
288	0.2700146415
289	0.2694976834
290	0.2691238187
291	0.2684013319
292	0.2680158036
293	0.2678849848
294	0.2675182257
295	0.2671538817
296	0.2664664766
297	0.2664039879
298	0.2661480028
299	0.2659273995
300	0.2654853984
301	0.2650298214
302	0.2647506734
303	0.2646720365
304	0.2643861059
305	0.2637657221
306	0.263230528
307	0.262831867
308	0.2627645113
309	0.2621298563
310	0.2618829002
